peptide_id,sequence_length,n_trp,n_tyr,n_phe,n_pro,epsilon_214_published,purity,aaa_ratio,aaa_cv,actual_concentration,rt,height,area,conc_u_m,hplc_dilution_factor,batch,aaa_adj,hplc_conc_raw,hplc_df,hplc_adj,purity_num,diff_adj,mean_xy,ratio,diff_pct_relAAA,diff_pct_of_mean,log2fc,pct_diff
PEP-0233,13,0,2,0,1,25049,1.0,0.1075,16.4311830071215,0.215,10.5646666666667,432.08329903374,40.8557127461536,6.08678417600095,5,5,215.0,6.08678417600095,5,91.30176264001425,1.0,-123.69823735998575,153.15088132000713,0.4246593611163453,-57.53406388836547,-80.76887073311686,-1.2356220420560111,-57.53406388836547
PEP-0159,11,0,2,2,0,30769,0.91973,0.1160625,12.8116504472691,0.21349232625,14.606,617.93790658674,156.622694350604,16.9675858115424,5,4,213.49232625,16.9675858115424,5,254.513787173136,0.91973,41.021460923136,234.003056711568,1.1921448964638652,19.21448964638653,17.530309859883168,0.2535595954524414,19.21448964638653
PEP-0210,12,0,0,2,1,28815,0.89945,0.11765625,13.787788254081,0.211651828125,9.62833333333333,478.598961139713,136.216646857036,17.3701411447381,5,5,211.651828125,17.3701411447381,5,260.5521171710715,0.89945,48.90028904607146,236.1019726480357,1.2310411843794296,23.10411843794296,20.711512274812115,0.2998790278711656,23.10411843794296
PEP-0152,10,0,0,1,0,13865,0.91908,0.114642857142857,22.4454774613504,0.210731914285714,12.2328333333333,306.648602049123,64.5922889941357,15.5288589960658,5,4,210.731914285714,15.5288589960658,5,232.932884940987,0.91908,22.20097065527301,221.8323996133505,1.105351724870551,10.53517248705507,10.00799283331419,0.1445055107796938,10.53517248705507
PEP-0183,12,0,0,1,0,21121,0.69122,0.1503,15.1219470000221,0.207780732,,,116.373552198464,18.3661682998696,5,5,207.780732,18.3661682998696,5,275.492524498044,0.69122,67.71179249804396,241.636628249022,1.3258809989082336,32.58809989082335,28.022155824928426,0.4069512958206548,32.58809989082335
PEP-0220,12,0,0,0,0,15870,1.0,0.103625,7.49948524296411,0.20725,11.624,190.339468345715,64.1129834418825,13.4662851169676,5,5,207.25,13.4662851169676,5,201.994276754514,1.0,-5.255723245486024,204.622138377257,0.9746406598529022,-2.5359340147097824,-2.568501769733328,-0.0370576850551121,-2.5359340147097824
PEP-0140,8,0,0,1,0,11953,1.0,0.103166666666667,12.4873716422328,0.206333333333333,12.1383333333333,67.0539578947442,53.4449860008972,14.9042042446519,5,4,206.333333333333,14.9042042446519,5,223.5630636697785,1.0,17.2297303364455,214.9481985015557,1.0835043473494936,8.350434734949367,8.0157593580952,0.1157049419751703,8.350434734949367
PEP-0234,13,0,1,0,0,17306,0.95223,0.108,15.8113883008419,0.20568168,10.4223333333333,498.5888921478,52.3854590016854,10.0900379447755,5,5,205.68168,10.0900379447755,5,151.3505691716325,0.95223,-54.33111082836752,178.51612458581624,0.7358485654708407,-26.415143452915935,-30.434847806843056,-0.4425191986094126,-26.415143452915935
PEP-0321,17,0,0,2,1,33691,0.93026,0.10215,12.55,0.2043,15.2548333333333,477.019539849509,121.320321156119,13.0384662922491,5,6,204.3,13.0384662922491,5,195.5769943837365,0.93026,-8.72300561626352,199.93849719186824,0.9573029583149116,-4.26970416850882,-4.362844444055518,-0.0629525272395087,-4.26970416850882
PEP-0248,12,0,0,1,2,26233,0.95633,0.10528125,16.4484415159663,0.201367235625,11.8535,597.893911160556,108.142184034965,17.2615977964477,5,5,201.367235625,17.2615977964477,5,258.9239669467155,0.95633,57.55673132171549,230.14560128585777,1.285829674043406,28.5829674043406,25.008833972988167,0.3626995503740557,28.5829674043406
